OTUId	L87107IM00	N08354M600	L08239SN00	M04248CT00	N18747SN02	N15954SN00	L19198M600	L13716Y100
JUJ_11738	16	9337	3500	117	28254	1205	23	207
JUJ_5994	0	0	0	0	0	0	0	0
JUJ_3319	0	32	340	1	0	0	12	29
JUJ_5660	131	143	16056	417	33	84	13957	2222
JUJ_9188	0	0	3	0	0	0	0	0
JUJ_5431	0	132	912	30	0	3	7	12
JUJ_304	19	377	13266	10068	15	20	38578	474
JUJ_16470	888	2359	35469	44261	1375	121	16467	9134
JUJ_5798	0	0	0	0	0	0	0	0
JUJ_12384	10	5640	337	1681	724	1271	20	259
JUJ_19138	0	284	649	14	3	24	11270	27
JUJ_5694	0	403	13597	2668	74	10	4615	428
JUJ_11737	1	19	5199	43	5	6	0	2
JUJ_284	47	601	16842	35	100	22	10	2813
JUJ_50	1158	2612	289	1782	2412	974	32	417
JUJ_12430	24	315	1074	5	1597	78	2	29
JUJ_8376	0	0	0	12	10	0	0	4
JUJ_3640	0	165	2	1	247	47	0	0
JUJ_5472	0	40	471	1	0	0	0	5
JUJ_11959	10	9794	179	2362	493	138	31	25
JUJ_18110	0	1157	44609	6079	520	15	304	117
JUJ_18045	0	4	137	7	1	2	43659	20
JUJ_467	1	1	30	939	19	3173	2	36
JUJ_13257	0	342	218	85	1	3	38842	25
JUJ_14197	0	0	5	1	0	0	1	0
JUJ_26	327	431	2214	127	66	315	142	31
JUJ_4461	12	7	42	15	6	6	11914	22
JUJ_15039	0	805	124	1277	4	83	18	31
JUJ_11855	250	25	1455	146	33	1291	0	207
JUJ_14138	0	0	13	0	0	0	0	0
JUJ_69	0	0	2	3	0	0	24414	1
JUJ_5409	0	627	17752	1265	28	13	36836	119
JUJ_372	98	459	4	110	159	233	10	112
JUJ_5727	0	229	303	996	2	10	11788	5
JUJ_18767	0	0	6	2	2	0	182	0
JUJ_10720	0	6	3114	20	4	3	42055	40
JUJ_18013	8	11	26962	124	1	1	2	31
JUJ_122	608	13	15	16	12	1	4	1
JUJ_15534	0	134	154	2	1	0	9432	3
JUJ_5725	0	0	2	18	5	15	8	83
JUJ_134	36	663	340	128	168	99	75	108
JUJ_21183	61	619	16298	1134	1334	13	322	5633
JUJ_5722	0	0	0	0	0	0	0	0
JUJ_18218	0	48	20	2	1	0	0	0
JUJ_18578	0	0	773	2	1	2	3	3
JUJ_12235	2	921	382	0	863	38	2	33
JUJ_22022	11	5	21543	44	3	8	5	100
JUJ_11968	5	11922	5320	13227	5341	26	31	5228
JUJ_5470	71	0	0	0	0	1	0	10
JUJ_13762	50	829	5104	22	2	0	12665	5
JUJ_13757	2	9	114	62	62	0	4	15
JUJ_12020	1	2	0	0	1	1	0	0
JUJ_13793	0	2	97	1	0	0	1	10
JUJ_5914	0	1	1	133	0	26	2	2
JUJ_5402	0	1	347	7	57	28	4	90
JUJ_23472	1	121	3048	2708	501	6	6	107
JUJ_264	486	6667	1176	5132	1180	1200	71	234
JUJ_263	0	5	51	2	0	0	74970	5
JUJ_6777	1	4	69	4	1	1	110320	7
JUJ_13756	0	3	34	0	1	0	18636	6
JUJ_16907	1	21	4853	51	17	7	3927	88
JUJ_18062	0	6	425	2	27	1	15598	4
JUJ_15144	1	12	1536	14234	22	2	34651	65
JUJ_18001	1741	28	6949	86	109	30	39	3438
JUJ_12408	11	2209	156	166	3312	52	6	13
JUJ_12922	52	1	9	0	0	2	0	570
JUJ_14225	0	11	34	0	0	0	0	0
JUJ_11555	0	0	1	21	0	4	0	0
JUJ_17550	0	21	194	6	0	2	14215	8
JUJ_18847	0	0	2	2	0	0	1297	0
JUJ_11748	0	0	402	0	0	0	0	0
JUJ_12957	0	105	10	22	6	0	0	0
JUJ_15220	0	5261	15	81	0	0	0	0
JUJ_18509	0	3	2	0	0	0	0	1
JUJ_21148	0	342	31	23	0	0	1612	0
JUJ_12376	7	87	0	0	60	1	0	0
JUJ_15161	1	5	129	3	1	0	0	12
JUJ_13399	0	2	150	2	0	1	1	2
JUJ_155	183	12	0	0	0	0	1	1
JUJ_13861	0	7	109	5	6	1	0	10
JUJ_5829	0	1	5	1	0	0	5270	1
JUJ_576	4568	0	2	0	0	0	0	0
JUJ_365	0	0	0	11	3	0	6	0
