
already sample present  N09391SN00 /Users/sariyasanjeev/bin/merge_otu_table/mini_april.txt
already sample present  L08239SN00 /Users/sariyasanjeev/bin/merge_otu_table/mini_april.txt
already sample present  L87107IM00 /Users/sariyasanjeev/bin/merge_otu_table/mini_new.txt
already sample present  N08354M600 /Users/sariyasanjeev/bin/merge_otu_table/mini_new.txt
already sample present  L08239SN00 /Users/sariyasanjeev/bin/merge_otu_table/mini_new.txt
already sample present  M04248CT00 /Users/sariyasanjeev/bin/merge_otu_table/mini_new.txt
already sample present  N18747SN02 /Users/sariyasanjeev/bin/merge_otu_table/mini_new.txt
already sample present  N15954SN00 /Users/sariyasanjeev/bin/merge_otu_table/mini_new.txt
already sample present  L19198M600 /Users/sariyasanjeev/bin/merge_otu_table/mini_new.txt
already sample present  L13716Y100 /Users/sariyasanjeev/bin/merge_otu_table/mini_new.txt
row count  1004  column count  20
OTUid	N04231CT00	N14551M600	N06891Y100	M19165M600	N06299CT00	L17774SN00	N09846SN00	N09391SN00	L87107IM00	N08354M600	L08239SN00	M04248CT00	N18747SN02	N15954SN00	L19198M600	L13716Y100	NEC3	NEC1	N19035SN00	M07845SN00	
REP_11743	9253.0	18976.0	21.0	106.0	329.0	328.0	5161.0	103.0	1953.0	37792.0	11615.0	11575.0	43420.0	6534.0	160.0	1286.0	0.0	0.0	0.0	0.0	
REP_14215	479.0	2052.0	38.0	35139.0	56921.0	18265.0	197105.0	11527.0	47.0	5555.0	52535.0	6330.0	28.0	119.0	45.0	148.0	0.0	0.0	0.0	0.0	
OTU_19586	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	3.0	0.0	2.0	
OTU_8243	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
JUJ_11738	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	9337.0	3500.0	117.0	28254.0	1205.0	23.0	207.0	0.0	0.0	0.0	0.0	
JUJ_5994	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
JUJ_3319	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.0	340.0	1.0	0.0	0.0	12.0	29.0	0.0	0.0	0.0	0.0	
JUJ_5660	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	131.0	143.0	16056.0	417.0	33.0	84.0	13957.0	2222.0	0.0	0.0	0.0	0.0	
JUJ_9188	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
JUJ_5431	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	132.0	912.0	30.0	0.0	3.0	7.0	12.0	0.0	0.0	0.0	0.0	
JUJ_304	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	377.0	13266.0	10068.0	15.0	20.0	38578.0	474.0	0.0	0.0	0.0	0.0	
JUJ_16470	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	888.0	2359.0	35469.0	44261.0	1375.0	121.0	16467.0	9134.0	0.0	0.0	0.0	0.0	
JUJ_5798	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
JUJ_12384	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	5640.0	337.0	1681.0	724.0	1271.0	20.0	259.0	0.0	0.0	0.0	0.0	
JUJ_19138	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	284.0	649.0	14.0	3.0	24.0	11270.0	27.0	0.0	0.0	0.0	0.0	
JUJ_5694	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	403.0	13597.0	2668.0	74.0	10.0	4615.0	428.0	0.0	0.0	0.0	0.0	
JUJ_11737	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	19.0	5199.0	43.0	5.0	6.0	0.0	2.0	0.0	0.0	0.0	0.0	
JUJ_284	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.0	601.0	16842.0	35.0	100.0	22.0	10.0	2813.0	0.0	0.0	0.0	0.0	
JUJ_50	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1158.0	2612.0	289.0	1782.0	2412.0	974.0	32.0	417.0	0.0	0.0	0.0	0.0	
JUJ_12430	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0	315.0	1074.0	5.0	1597.0	78.0	2.0	29.0	0.0	0.0	0.0	0.0	
JUJ_8376	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	10.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	
JUJ_3640	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	165.0	2.0	1.0	247.0	47.0	0.0	0.0	0.0	0.0	0.0	0.0	
JUJ_5472	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.0	471.0	1.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	
JUJ_11959	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	9794.0	179.0	2362.0	493.0	138.0	31.0	25.0	0.0	0.0	0.0	0.0	
JUJ_18110	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1157.0	44609.0	6079.0	520.0	15.0	304.0	117.0	0.0	0.0	0.0	0.0	
JUJ_18045	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	137.0	7.0	1.0	2.0	43659.0	20.0	0.0	0.0	0.0	0.0	
JUJ_467	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	30.0	939.0	19.0	3173.0	2.0	36.0	0.0	0.0	0.0	0.0	
