	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria
	Firmicutes	Bacteroidetes	Firmicutes	Firmicutes	Bacteroidetes	Actinobacteria	Bacteroidetes	Bacteroidetes	Bacteroidetes	Bacteroidetes	Firmicutes	Firmicutes	Bacteroidetes	Firmicutes	Actinobacteria	Firmicutes
	Clostridia	Bacteroidia	Clostridia	Clostridia	Bacteroidia	Actinobacteria	Bacteroidia	Bacteroidia	Bacteroidia	Bacteroidia	Negativicutes	Clostridia	Bacteroidia	Clostridia	Actinobacteria	Clostridia
	Clostridiales	Bacteroidales	Clostridiales	Clostridiales	Bacteroidales	Actinomycetales	Bacteroidales	Bacteroidales	Bacteroidales	Bacteroidales	Selenomonadales	Clostridiales	Bacteroidales	Clostridiales	Actinomycetales	Clostridiales
	Peptoniphilaceae<0.8	Prevotellaceae	Peptoniphilaceae	Clostridiales_Incertae_Sedis_XI	Porphyromonadaceae	Corynebacteriaceae	Porphyromonadaceae	Prevotellaceae	Prevotellaceae	Prevotellaceae	Veillonellaceae	Peptostreptococcaceae	Prevotellaceae	Clostridiales_Incertae_Sedis_XI	Corynebacteriaceae	Clostridiales_Incertae_Sedis_XI
		Prevotella	Peptoniphilus	Finegoldia	Porphyromonas	Corynebacterium	Porphyromonas	Prevotella	Prevotella	Prevotella	Dialister	Peptostreptococcus	Prevotella	Anaerococcus	Corynebacterium	Ezakiella
		Prevotella_timonensis_T	Peptoniphilus_gorbachii_T<0.8	Finegoldia_magna_T	Porphyromonas_bennonis_T<0.8	Corynebacterium_accolens_T<0.8	Porphyromonas_sp_sp2-iso-ab16x2<0.8	S000414458_Prevotella	Prevotella_disiens_T	S000414448_Prevotella	Dialister_propionicifaciens_T	Peptostreptococcus_anaerobius_T	S000414459_Prevotella	Anaerococcus_murdochii_T	Corynebacterium_glucuronolyticum_T<0.8	Ezakiella_peruensis_T
L84877-IM00	3857	3082	2130	2640	2579	0	304	5657	8143	2801	5538	478	685	370	3	99
N00451Y100	4015	2016	151	29	120	0	1872	2120	1979	5	222	718	49	27	0	134
N06891CT00	1551	2212	275	262	104	19	5434	10	6	7	1124	11	383	422	7	605
L06962Y100	22	23	122	404	593	1870	18	14	16	8	8	8	8	81	1	2
L81814-PR00	1477	1419	52	128	19	3	365	1750	9	1	400	2181	23	164	4	327
M12877Y100	155	11235	838	4	0	0	2167	1	3	6	565	1	2763	1564	1	3278
N12886SN00	102	58	786	711	13	0	259	24609	2028	2	125	2369	5	24	3	3
N00786Y100	1341	2621	2616	3843	175	21	339	8782	1043	139	1385	6709	460	1743	21	207
L02433CT00	234	96	794	163	322	2	8	132	166	68	145	3	5	95	2	116
M87221-IM00	3113	1697	1001	248	1868	0	391	380	59	5042	928	325	148	54	325	2767
N87230-PR00	5089	1478	3428	6730	731	33	914	774	3112	586	1687	557	998	1884	68	1952
L08865SN01	3429	1550	1599	2417	4	20	1078	25	7901	44	211	6	138	4267	2	45
L21303SN00	8758	7136	800	147	159	4	867	455	3798	2548	2457	529	423	91	21	1571
N06053CT00	189	740	2949	8660	99	153	31	2957	167	11	167	9	59	782	3448	187
M06581CT01	7094	24844	11409	7233	10608	1	16781	8	4	7	8	13	2937	1153	3107	74
N07561SN00	10551	1705	1655	2808	406	1	744	818	5	15252	924	1350	464	438	186	323
L14745SN00	771	1578	2810	4751	113	78	30	4621	4	462	224	3769	169	530	440	316
M18796Y100	99	21	301	521	70	2118	12	6	5	5	11	9	12	21	83	29
L08996SN00	19918	2804	5	2	168	1	2406	5	0	3	2587	1055	208	54	0	0
PEC5	7948	20056	1620	412	3426	1	1748	6	0	426	1859	7	914	1566	4	1127
N75936-IM00	5788	14	881	1573	1	24	29	448	16	543	722	12	1043	590	1909	380
L04001CT00	3227	7362	3800	5890	718	66	332	1335	11	2309	260	3673	183	1806	273	15
L03682CT00	4191	6581	920	1718	259	2	1389	3428	4548	662	1226	1237	639	649	299	619
N05008CT00	1366	1681	10973	13507	8862	23	105	26	6	11	389	130	475	2730	2697	3908
L19499M600	5586	5442	656	3603	1460	220	374	380	1692	4561	1231	3412	809	269	3659	17
N17899SN00	8124	6347	1544	675	314	7	1917	0	2	0	2980	3695	176	651	0	366
L09218M600	1427	14105	8448	9616	1521	108	1571	351	1466	2438	1230	61	168	2497	15	243
N20198SN00	43	4981	407	157	8562	2	6501	1729	6	9	1192	7	1120	20	33	6056
N00516Y100	101	53	3449	7098	20	1246	15	27	22	14	17	29	10	614	4037	11
L75918-IM00	2168	2734	796	55	1424	0	1308	0	81	811	910	4	480	548	108	101
N03317M600	10856	13055	6626	811	935	1	5543	80	1680	16471	3809	1222	2489	2796	2	5870
L13198SN00	135	2731	3759	12	46	0	16	47472	4	35	24	3	76	11	3	11
M21029SN00	18	27	3911	10859	4	238	1	4579	22	32	16	14101	28	1037	5	6
N69894-PR00	860	64	1462	1129	1079	239	41	9	2	19	13	7	51	896	305	342
M14819SN00	11246	3607	1777	559	383	5	3626	6	5880	135	2761	471	8386	179	9	3002
N18925SN00	1481	8524	1087	34	12	3	3833	1	279	1	2290	33	4626	1447	0	59
M73252-PR00	1501	2631	5194	4474	21047	0	973	1	2	495	556	0	385	2442	1492	2439
PCR	596	2539	2998	14052	220	60	105	307	68	959	325	434	171	19138	112	180
M86797-IM00	1085	812	986	2372	81	72	976	51	6124	646	938	1964	104	565	5	305
M19775SN00	3131	8301	1705	527	2067	0	3306	596	4248	9	3548	1772	1574	286	9	5630
L12096SN00	3464	454	1101	1220	1985	82	261	12	14	240	101	10	1246	1527	10365	316
L09137Y100	2225	6140	8375	10701	653	8	450	33	77	216	1287	167	308	1803	5	242
M03772CT01	51	37	26379	463	28	28	15	26777	4	5	5	8	15	221	11	35
M09489SN00	3982	3922	274	437	244	2	1065	1	3031	787	567	0	1820	32	2	1336
L04441CT00	7677	9624	913	38	268	1	5509	18	3	10	3429	11	488	251	11	161
