OTUId	LIU.CIRCHESNREPEATS.N04231CT00.RAV752.H1	LIU.CIRCHESNREPEATS.N14551M600.RAV751.H5	LIU.CIRCHESNREPEATS.N06891Y100.RAV752.D5	LIU.CIRCHESNREPEATS.M19165M600.RAV752.A5	LIU.CIRCHESNREPEATS.N06299CT00.RAV752.A2	LIU.CIRCHESNREPEATS.L17774SN00.RAV752.A6	LIU.CIRCHESNREPEATS.N09846SN00.RAV752.B7	LIU.CIRCHESNREPEATS.N09391SN00.RAV752.F5	LIU.CIRCHESNREPEATS.L87107IM00.RAV751.H3	LIU.CIRCHESNREPEATS.N08354M600.RAV752.E5	LIU.CIRCHESNREPEATS.L08239SN00.RAV752.H5	LIU.CIRCHESNREPEATS.M04248CT00.RAV752.C3	LIU.CIRCHESNREPEATS.N18747SN02.RAV752.E2	LIU.CIRCHESNREPEATS.N15954SN00.RAV751.G5	LIU.CIRCHESNREPEATS.L19198M600.RAV752.A4	LIU.CIRCHESNREPEATS.L13716Y100.RAV751.A6	LIU.ctrl.PCRPOSFECAL.RAV752.F12	LIU.CIRCHESNREPEATS.M21045Y100.RAV752.E6	LIU.CIRCHESNREPEATS.L06734CT00.RAV751.D6	LIU.CIRCHESNREPEATS.N18551Y100.RAV752.F7	LIU.CIRCHESNREPEATS.N20766Y100.RAV752.H7	LIU.CIRCHESNREPEATS.M02141CT00.RAV751.H6	LIU.CIRCHESNREPEATS.L02491Y100.RAV752.G2	LIU.CIRCHESNREPEATS.L73065PR00.RAV751.B1	LIU.CIRCHESNREPEATS.M07845SN00.RAV752.D6	LIU.CIRCHESNREPEATS.L89814PR00.RAV751.B2	LIU.CIRCHESNREPEATS.L04645CT00.RAV752.G5	LIU.CIRCHESNREPEATS.N11019M600.RAV752.C7	LIU.ctrl.PCRPOSVAG.RAV752.E12	LIU.CIRCHESNREPEATS.N09294Y100.RAV752.A7	LIU.CIRCHESNREPEATS.M20862SN00.RAV752.F1	LIU.CIRCHESNREPEATS.N06794CT00.RAV752.C5	LIU.CIRCHESNREPEATS.M81823PR00.RAV751.A3	LIU.CIRCHESNREPEATS.M21346SN00.RAV751.D5	LIU.CIRCHESNREPEATS.N00223CT00.RAV752.G6	LIU.CIRCHESNREPEATS.M03382M600.RAV752.B4	LIU.CIRCHESNREPEATS.M05730CT01.RAV752.A1	LIU.CIRCHESNREPEATS.N02663M600.RAV752.G1	LIU.CIRCHESNREPEATS.N08192SN00.RAV752.D2	LIU.CIRCHESNREPEATS.M08565Y100.RAV752.B1	LIU.CIRCHESNREPEATS.L04679M600.RAV752.F3	LIU.CIRCHESNREPEATS.M03780Y100.RAV752.A3	LIU.CIRCHESNREPEATS.M20561SN00.RAV752.B5	LIU.CIRCHESNREPEATS.L07925SN00.RAV752.F4	LIU.CIRCHESNREPEATS.M03780CT00.RAV752.B3	LIU.CIRCHESNREPEATS.N00914Y100.RAV752.D3	LIU.CIRCHESNREPEATS.M69843IM00.RAV751.D4	LIU.CIRCHESNREPEATS.N19352SN00.RAV752.A8	LIU.CIRCHESNREPEATS.N85662IM00.RAV751.B5	LIU.CIRCHESNREPEATS.N17019SN00.RAV752.D7	LIU.CIRCHESNREPEATS.L87694PR00.RAV751.H1	LIU.CIRCHESNREPEATS.L82241PR00.RAV751.E1	LIU.CIRCHESNREPEATS.M09138SN00.RAV752.C1	LIU.CIRCHESNREPEATS.N11784SN00.RAV751.F5	LIU.CIRCHESNREPEATS.M15563SN01.RAV752.E1	LIU.CIRCHESNREPEATS.L88738PR00.RAV751.A2	LIU.CIRCHESNREPEATS.N19035SN00.RAV752.G7	LIU.CIRCHESNREPEATS.N00516CT00.RAV752.H6	LIU.CIRCHESNREPEATS.L17774Y100.RAV752.H3	LIU.CIRCHESNREPEATS.M03803Y100.RAV752.G4	LIU.CIRCHESNREPEATS.N11019SN00.RAV752.E4	LIU.CIRCHESNREPEATS.N65690PR00.RAV751.C3	LIU.CIRCHESNREPEATS.N15637SN00.RAV752.E3	LIU.CIRCHESNREPEATS.L87107PR00.RAV751.G1	LIU.CIRCHESNREPEATS.M08379Y100.RAV752.H4	LIU.CIRCHESNREPEATS.M18940Y100.RAV752.D4	LIU.CIRCHESNREPEATS.L31932PR00.RAV751.A1	LIU.CIRCHESNREPEATS.M80933PR00.RAV751.H2	LIU.CIRCHESNREPEATS.N68946IM00.RAV751.A5	LIU.CIRCHESNREPEATS.M04434CT01.RAV752.C6	LIU.CIRCHESNREPEATS.N64718PR00.RAV751.B3	LIU.CIRCHESNREPEATS.M12233Y100.RAV752.D1	LIU.CIRCHESNREPEATS.M12411SN00.RAV751.C5	LIU.CIRCHESNREPEATS.M69843PR00.RAV751.G2	LIU.CIRCHESNREPEATS.M21752Y100.RAV752.F6	LIU.CIRCHESNREPEATS.L81026PR00.RAV751.D1	LIU.CIRCHESNREPEATS.M87360IM00.RAV751.F4	LIU.CIRCHESNREPEATS.L91168PR00.RAV751.D2	LIU.CIRCHESNREPEATS.N07503Y100.RAV752.C2	LIU.CIRCHESNREPEATS.N21509M600.RAV752.F2	LIU.CIRCHESNREPEATS.M04379M600.RAV752.C4	LIU.CIRCHESNREPEATS.L04645Y100.RAV752.H2	LIU.ctrl.PCRNTC2.RAV752.H12	LIU.CIRCHESNREPEATS.M69796PR00.RAV751.F2	LIU.CIRCHESNREPEATS.N07503SN00.RAV752.B2	LIU.CIRCHESNREPEATS.L89830PR00.RAV751.C2	LIU.CIRCHESNREPEATS.N65690IM00.RAV751.H4	LIU.CIRCHESNREPEATS.L73065IM00.RAV751.E3	LIU.CIRCHESNREPEATS.L17740M600.RAV752.G3	LIU.CIRCHESNREPEATS.L80754IM00.RAV751.F3	LIU.CIRCHESNREPEATS.L91207PR00.RAV751.E2	LIU.CIRCHESNREPEATS.M00434CT00.RAV752.B6	LIU.CIRCHESNREPEATS.L83725PR00.RAV751.F1	LIU.CIRCHESNREPEATS.M69796IM00.RAV751.C4	LIU.CIRCHESNREPEATS.N17467SN00.RAV752.E7	LIU.CIRCHESNREPEATS.M00531CT00.RAV751.G6	LIU.CIRCHESNREPEATS.L80754PR00.RAV751.C1	LIU.CIRCHESNREPEATS.N68946PR00.RAV751.D3	LIU.CIRCHESNREPEATS.M81823IM00.RAV751.E4	LIU.CIRCHESNREPEATS.L20031Y100.RAV751.B6	LIU.CIRCHESNREPEATS.L15693SN00.RAV751.E6	LIU.CIRCHESNREPEATS.N12399SN00.RAV751.E5	LIU.CIRCHESNREPEATS.L21028Y100.RAV751.F6	LIU.CIRCHESNREPEATS.L81026IM00.RAV751.G3	LIU.CIRCHESNREPEATS.M02743Y100.RAV751.A7	LIU.ctrl.PCRNTC1.RAV752.G12	LIU.CIRCHESNREPEATS.N10030Y100.RAV751.C6	LIU.CIRCHESNREPEATS.L91168IM00.RAV751.B4	LIU.CIRCHESNREPEATS.L89814IM00.RAV751.A4	LIU.CIRCHESNREPEATS.N64718IM00.RAV751.G4
OTU_11743	9253	18976	21	106	329	328	5161	103	1953	37792	11615	11575	43420	6534	160	1286	9	31844	21	431	229	3450	19005	1359	8632	1670	16318	1997	879	15669	1413	3827	14809	7	2855	2997	993	41749	757	71304	81	9491	484	23321	2766	372	3702	1905	53	1516	1206	676	875	1514	1023	2845	1138	773	51	259	1496	1776	394	915	62513	4477	860	8215	1759	3420	2168	43	4338	2588	50215	527	506	1171	1063	93	20	7532	16	978	169	1326	30	795	3016	763	1074	301	673	476	50	698	1173	1184	1434	27	41	29	46	191	37	2	28	110	39	23
OTU_14215	479	2052	38	35139	56921	18265	197105	11527	47	5555	52535	6330	28	119	45	148	2	22580	87946	83058	1642	9942	29	88	51994	129	973	423	223	15013	28801	5028	30	998	307	12601	1103	120	366	187	79	434	7930	1626	325	42	8	2493	61	15259	20	7	722	144	150	349	114	789	850	512	47	78	357	5	14	99	104	13	85	380	144	15	84	3	750	9	139	81	94	16	49	192	0	3	58	45	0	17	214	32	19	1333	40	15	53	93	33	58	7	42	27	21	27	2	64	0	56	6	2	1
OTU_12182	12	0	233321	3410	13229	90027	33	91721	0	32	619	39	6	0	97464	55	0	30	9	60	940	0	1	0	1013	0	65	129	0	56203	7678	154	12	168	27	2	158	27	5	10	5	43	196	25	32	3	1	189	0	20	0	0	89	82	42	15	81	1096	15	106	8	0	2	0	6	32	2	0	3	398	0	2636	0	0	36	57	0	2	10	5	2	21	0	0	12	0	0	0	16	0	0	85	40	0	14	0	0	0	0	0	0	0	0	0	18	0	0	0	2	0
OTU_5659	375	82	6	26186	18470	58	8039	78	115	10	42797	37	15	5	14	15	3	1900	3133	37860	23	3512	3	3	27	0	3677	69	0	24	9732	376	0	37	161	254	681	64	13	32	22	7	500	133	38	6	225	826	15	219	9	1	14	112	24	1	19	265	484	6	11	2	959	2	4	16	6	3	8	41	1	6	7	1	344	0	111	4	22	7	164	8	1	0	18	3	0	8	91	24	4	73	6	4	21	16	0	0	0	2	0	1	2	0	2	0	12	0	0	0
OTU_6950	32	13	6	1266	22748	31	390	90	0	3	3034	20	2	6	6	14	0	1	8878	45	0	1	3	1	24	0	10	1	0	2	12600	27	0	98	0	9	177	37	33	18	3	9	439	1175	5	2	0	137	6	22	0	0	16	51	4	1	1	0	40	30	17	0	11	0	3	17	0	0	2	1	0	3	7	0	4	0	6	4	12	7	2	9	0	0	10	0	0	2	16	0	0	3	14	1	22	1	0	0	0	5	0	0	0	0	4	0	2	0	0	0
OTU_7058	0	1	5550	6	42	11816	1961	206	0	3	99	8	0	0	0	9	0	1	0	4	61	0	0	0	391	0	3	6	0	9146	11	10	0	4	0	0	0	0	0	0	1	4	7	38	0	0	0	11	0	1	0	0	0	0	0	4	9	6	1	2	0	0	0	0	0	0	0	0	0	116	1	69	0	0	3	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU_18639	2	0	0	0	2258	2931	0	10	0	0	16	0	0	0	2	2	0	1	0	1	0	0	0	0	1	0	0	2	0	3091	713	2	0	0	0	0	11	5	0	3	1	3	1	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	1	1	0	0	0	0	0	2	0	0	0	28	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU_5668	144	89	25132	2129	1001	1372	39919	4053	16	8	18293	15	2	0	2	97	0	2480	2130	475	77	647	1	1	990	0	244	22	0	1269	473	73	1	43	1	70	61	2	57	0	2	25	86	2	63	2	56	61	2	1202	2	0	38	123	6	0	8	66	9	18	0	0	32	0	2	2	1	1	6	11	4	339	1	0	10	8	0	3	3	0	0	2	0	1	2	1	0	2	15	1	2	238	2	0	34	1	0	1	0	0	3	1	1	0	3	0	1	0	1	0
OTU_10729	0	252	11	6	765	21539	6	9924	9	8	150	0	0	0	1	11	0	5	0	11	48008	1	0	0	456	0	9	51	0	14728	391	55	2	0	2	0	0	0	1	0	0	7	84	1	0	0	0	24	0	2	0	0	1	12	0	5	18	558	16	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	12	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	21	4	0	4	0	0	0	0	0	0	0	1	0	6	0	0	0	0	0
OTU_318	7	14	8	2841	2	22	5777	39	6553	2	46	3	14	9	1	13	0	12488	5	9	82	46	1	18	7647	9	11	12	0	332	33	1390	15	1	2377	3	72	512	158	2	3	9	24	617	1	0	7	65	11	2247	29	15	2072	6499	8	18	13	147	17	2	0	26	263	17	319	13	6	81	3	30	6	2	134	41	83	11	20	89	12	1	1	70	0	47	2	31	3	163	0	1093	100	33	18	2	11	2	22	57	4	9	6	3	5	6	8	0	5	1	6	5
OTU_11722	295	586	5	27	27	67	1097	42	53	11922	280	656	5970	151	23	47	2	66	1	7	240	967	6951	69	574	110	40947	2711	36	745	61	11985	1443	1	197	1513	2	1661	109	755	2	275	26	1363	76	21	11	47	2	8481	35	22	220	1290	255	147	208	95	8	58	633	136	2	21	2012	1195	45	189	41	192	160	5	410	69	256	32	4	67	185	3	4	6415	0	20	10	86	1	24	82	13	43	33	16	36	13	41	73	80	168	2	6	8	1	5	6	0	2	7	4	1
OTU_29	1	0	24778	1	894	25640	139	27049	4	3	179	1	0	0	0	18	0	8	688	13	8160	0	0	0	203	0	15	28	0	19027	574	30	2	27	1	0	8	3	4	0	1	11	14	184	0	2	0	21	0	1	0	0	2003	15	17	7	24	412	11	0	1	0	0	0	0	8	0	0	0	16	0	281	2	0	12	9	0	0	0	0	0	4	0	0	2	0	0	0	2	0	0	24	7	0	6	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0
OTU_5404	127	1098	28	1538	3762	67	11563	84	1	1603	13405	11327	10	21	1518	4	1	410	567	28807	396	348	0	54	8910	60	64271	93	82	32	1324	2337	17	4	3	31	47	587	376	34	31	1650	1236	3	6	4	1	127	5	131	1	3	3790	10	38	201	60	199	52	10	8	46	32	11	4	16	46	1	1	29	72	3	2	0	227	5	55	11	126	2	0	12	0	1	11	24	0	5	41	4	3	95	2	8	456	1	17	18	0	0	1	3	1	0	2	0	1	4	0	0
OTU_17999	455	7337	767	4814	441	222	10658	451	124	2045	30274	43050	5735	43	109	316	18	29131	364	12265	515	8702	18	770	44207	907	12381	1262	99336	6439	1039	16522	2457	14	1915	34435	167	33383	777	78	52	14607	556	1642	55	236	203	12441	22	2063	4426	248	2382	301	90	2279	176	182	28	99	125	767	76	950	12	1207	640	857	459	232	1063	32	160	739	286	195	90	453	440	27	120	557	10	259	64	515	3	335	48	1266	398	117	275	192	81	161	501	525	171	15	15	25	10	29	29	7	20	63	7	8
